Pressure_Pa,cp,X_m,AoA_deg
101612.656,-6.751535714,0.957139313,0
101627.875,-6.68359375,0.966538548,0
101641.797,-6.621441964,0.975934684,0
101697.461,-6.372941964,0.98453337,0
101737.75,-6.193080357,0.974551141,0
101726.023,-6.245433036,0.964568973,0
101718.969,-6.276924107,0.954586804,0
101710.359,-6.315361607,0.944604754,0
101702.898,-6.348669643,0.934622824,0
101696.195,-6.37859375,0.924641132,0
101690.469,-6.40415625,0.914659679,0
101685.391,-6.426825893,0.904678524,0
101680.813,-6.447263393,0.894697726,0
101676.547,-6.466308036,0.884717226,0
101672.469,-6.484513393,0.874737084,0
101668.547,-6.502022321,0.864757359,0
101664.797,-6.518763393,0.854777932,0
101661.25,-6.534598214,0.844798982,0
101657.875,-6.549665179,0.834820449,0
101654.688,-6.563892857,0.824842393,0
101651.656,-6.577428571,0.814864814,0
101648.797,-6.590191964,0.804887712,0
101646.078,-6.602330357,0.794911206,0
101643.484,-6.613910714,0.784935236,0
101641.0,-6.625,0.774959862,0
101638.625,-6.635602679,0.764985085,0
101636.367,-6.645683036,0.755010962,0
101634.219,-6.655272321,0.745037496,0
101632.188,-6.664339286,0.735064745,0
101630.266,-6.672919643,0.725092709,0
101628.438,-6.681080357,0.715121448,0
101626.719,-6.688754464,0.705151021,0
101625.07,-6.696116071,0.69518137,0
101623.484,-6.703196429,0.685212553,0
101621.938,-6.710098214,0.675244629,0
101620.438,-6.716794643,0.66527766,0
101619.008,-6.723178571,0.655311644,0
101617.664,-6.729178571,0.645346701,0
101616.422,-6.734723214,0.635382831,0
101615.273,-6.739852679,0.625420034,0
101614.234,-6.744491071,0.615458488,0
101613.281,-6.748745536,0.605498135,0
101612.406,-6.752651786,0.595539153,0
101611.602,-6.756241071,0.585581481,0
101610.859,-6.759558036,0.5756253,0
101610.195,-6.762522321,0.56567055,0
101609.672,-6.764857143,0.555717468,0
101609.344,-6.766321429,0.545766056,0
101609.25,-6.766741071,0.535816431,0
101609.328,-6.766392857,0.525868654,0
101609.313,-6.766459821,0.515922904,0
101609.172,-6.767089286,0.50597924,0
101608.922,-6.768205357,0.496037841,0
101608.813,-6.768691964,0.486098737,0
101609.203,-6.766950893,0.476162106,0
101610.336,-6.761892857,0.466228098,0
101611.953,-6.754674107,0.456296861,0
101613.641,-6.747138393,0.446368635,0
101615.43,-6.739151786,0.436443597,0
101617.266,-6.730955357,0.426521957,0
101619.281,-6.721959821,0.416603953,0
101621.781,-6.710799107,0.406689823,0
101624.656,-6.697964286,0.396779835,0
101627.813,-6.683870536,0.386874199,0
101631.297,-6.668316964,0.376973212,0
101635.156,-6.651089286,0.367077202,0
101639.469,-6.631834821,0.357186556,0
101644.328,-6.610142857,0.347301602,0
101649.789,-6.585763393,0.337422848,0
101655.859,-6.558665179,0.327550679,0
101662.547,-6.528808036,0.317685604,0
101669.969,-6.495674107,0.307828069,0
101678.219,-6.45884375,0.29797861,0
101687.18,-6.418839286,0.288137764,0
101696.688,-6.376392857,0.278306097,0
101706.969,-6.330495536,0.268484354,0
101718.313,-6.279852679,0.2586734,0
101730.789,-6.22415625,0.248874202,0
101744.516,-6.162875,0.23908782,0
101759.609,-6.095495536,0.229315326,0
101776.203,-6.021415179,0.219557911,0
101794.523,-5.939629464,0.209816948,0
101814.688,-5.849607143,0.200093806,0
101836.781,-5.750977679,0.190390036,0
101860.828,-5.643625,0.180707216,0
101887.063,-5.526504464,0.171047419,0
101915.984,-5.397392857,0.161413282,0
101947.984,-5.254535714,0.151807711,0
101983.438,-5.096258929,0.142233834,0
102022.719,-4.920897321,0.132694975,0
102066.156,-4.726982143,0.123195559,0
102114.484,-4.511232143,0.113741502,0
102168.906,-4.268276786,0.104339421,0
102229.672,-3.997,0.0949965343,0
102298.313,-3.690566964,0.0857207552,0
102380.703,-3.322754464,0.0765226483,0
102477.328,-2.891392857,0.0674176812,0
102576.438,-2.4489375,0.0584246516,0
102700.266,-1.896133929,0.0495753773,0
102840.742,-1.269008929,0.0409122668,0
102982.563,-0.6358794643,0.0324866809,0
103156.406,0.1402053571,0.0243737474,0
103349.57,1.002544643,0.0166762006,0
103471.891,1.548620536,0.00971306767,0
103366.672,1.078892857,0.00410712603,0
102769.328,-1.587821429,0.000456086069,0
101658.719,-6.545897321,2.35008247e-05,0
99834.1172,-14.69144107,0.00394131104,0
98314.5234,-21.47534196,0.0106005892,0
97913.8125,-23.26422991,0.0187234282,0
97903.3281,-23.31103527,0.0277295932,0
98059.9688,-22.61174643,0.03714348,0
98263.1094,-21.70486875,0.0467607044,0
98439.1328,-20.91905,0.0565118901,0
98593.9375,-20.22795759,0.066350691,0
98742.4375,-19.56501116,0.0762473643,0
98878.1875,-18.95898438,0.0861806646,0
98996.0469,-18.43282634,0.0961366221,0
99100.8125,-17.96512277,0.106106773,0
99196.9297,-17.53602813,0.116084911,0
99284.9063,-17.14327545,0.126066685,0
99365.9297,-16.78156384,0.136048764,0
99442.0625,-16.44168527,0.146028519,0
99514.875,-16.11662946,0.156003952,0
99585.4219,-15.80168795,0.165973693,0
99651.6172,-15.50617321,0.175936624,0
99713.6875,-15.22907366,0.185891807,0
99774.3281,-14.9583567,0.195838556,0
99832.4844,-14.69873036,0.205776393,0
99887.7188,-14.45214821,0.215705052,0
99941.3438,-14.21275089,0.225624263,0
99991.9766,-13.98671161,0.235533699,0
100040.063,-13.77204018,0.245433152,0
100088.156,-13.55733929,0.255322516,0
100135.203,-13.34730804,0.265201688,0
100180.781,-13.14383482,0.275070757,0
100225.203,-12.94552232,0.284929663,0
100268.5,-12.75223214,0.294778585,0
100310.625,-12.56417411,0.304617614,0
100351.641,-12.38106696,0.314447045,0
100391.578,-12.20277679,0.324266911,0
100430.516,-12.02894643,0.334077299,0
100468.781,-11.85812054,0.343878239,0
100506.328,-11.6905,0.353669822,0
100543.711,-11.52361161,0.363452196,0
100579.617,-11.36331696,0.373225451,0
100614.297,-11.20849554,0.382989734,0
100649.742,-11.05025893,0.392745256,0
100685.0,-10.89285714,0.402492225,0
100719.406,-10.73925893,0.412230849,0
100752.875,-10.58984375,0.421961248,0
100785.656,-10.4435,0.4316836,0
100817.766,-10.30015179,0.441397995,0
100848.984,-10.16078571,0.451104611,0
100879.125,-10.02622768,0.460803598,0
100909.063,-9.892575893,0.470495075,0
100938.672,-9.760392857,0.48017928,0
100968.094,-9.629044643,0.489856362,0
100998.453,-9.493513393,0.49952656,0
101027.656,-9.363142857,0.509190023,0
101055.844,-9.237303571,0.518846869,0
101084.063,-9.111325893,0.528497279,0
101110.844,-8.991767857,0.53814131,0
101136.18,-8.878660714,0.547779024,0
101160.859,-8.768486607,0.557410598,0
101185.016,-8.660642857,0.567036092,0
101208.461,-8.555977679,0.576655567,0
101231.148,-8.454696429,0.586269259,0
101253.078,-8.356794643,0.59587723,0
101274.172,-8.262625,0.605479598,0
101294.359,-8.172504464,0.615076423,0
101313.594,-8.086633929,0.624667823,0
101331.836,-8.005196429,0.63425386,0
101349.078,-7.928223214,0.643834531,0
101365.297,-7.855816964,0.653409898,0
101380.484,-7.788017857,0.66298008,0
101394.656,-7.72475,0.672545135,0
101407.813,-7.666013393,0.682105124,0
101419.961,-7.61178125,0.691660047,0
101431.141,-7.561870536,0.701210082,0
101441.359,-7.516254464,0.710755169,0
101450.688,-7.474607143,0.72029537,0
101459.156,-7.436803571,0.729830682,0
101466.797,-7.402691964,0.739361048,0
101473.563,-7.372486607,0.748886526,0
101479.43,-7.346294643,0.758407116,0
101484.336,-7.324392857,0.767922759,0
101488.188,-7.307196429,0.777433515,0
101491.078,-7.294294643,0.786939323,0
101493.281,-7.284459821,0.796440184,0
101495.047,-7.276575893,0.805936158,0
101496.477,-7.270191964,0.815427184,0
101497.375,-7.266183036,0.824913144,0
101497.359,-7.266254464,0.834394038,0
101496.727,-7.269075893,0.843869746,0
101497.172,-7.267089286,0.853340387,0
101501.297,-7.248674107,0.862805724,0
101510.031,-7.209683036,0.872265875,0
101521.344,-7.159178571,0.881720662,0
101533.094,-7.106723214,0.891170084,0
101544.508,-7.055767857,0.900613964,0
101555.406,-7.007116071,0.910051882,0
101565.938,-6.960098214,0.919483483,0
101576.391,-6.913433036,0.928908169,0
101587.328,-6.864607143,0.938325465,0
101599.25,-6.811383929,0.947735429,0
101297.25,-8.159598214,0.950899899,2
101309.336,-8.105642857,0.96017611,2
101311.156,-8.097517857,0.969448924,2
101374.375,-7.815290179,0.977819085,2
101437.266,-7.534526786,0.967844427,2
101440.141,-7.521691964,0.957869947,2
101448.094,-7.4861875,0.947895825,2
101452.672,-7.46575,0.937922299,2
101457.102,-7.445973214,0.927949488,2
101461.234,-7.427526786,0.91797775,2
101465.469,-7.408620536,0.908007026,2
101469.523,-7.390522321,0.898037314,2
101473.391,-7.373254464,0.888068676,2
101476.953,-7.357352679,0.878100932,2
101480.188,-7.342910714,0.868134141,2
101483.133,-7.329763393,0.858168304,2
101485.867,-7.317558036,0.848203421,2
101488.438,-7.306080357,0.838239551,2
101490.891,-7.295129464,0.828276694,2
101493.266,-7.284526786,0.81831485,2
101495.547,-7.27434375,0.80835408,2
101497.766,-7.2644375,0.798394442,2
101499.938,-7.254741071,0.788435817,2
101502.047,-7.245325893,0.778478384,2
101504.164,-7.235875,0.768522024,2
101506.195,-7.226808036,0.758566916,2
101508.125,-7.218191964,0.74861294,2
101510.063,-7.209540179,0.738660276,2
101512.047,-7.200683036,0.728708804,2
101514.148,-7.191303571,0.718758643,2
101516.172,-7.182267857,0.708809853,2
101518.055,-7.173861607,0.698862433,2
101519.953,-7.165388393,0.688916385,2
101521.844,-7.156946429,0.678971827,2
101523.719,-7.148575893,0.669028699,2
101525.578,-7.140276786,0.659087062,2
101527.438,-7.131973214,0.649147034,2
101529.297,-7.123674107,0.639208674,2
101531.195,-7.115200893,0.629272044,2
101533.219,-7.106165179,0.619337142,2
101535.313,-7.096816964,0.609404087,2
101537.422,-7.087401786,0.59947294,2
101539.578,-7.077776786,0.58954376,2
101541.766,-7.068008929,0.579616666,2
101544.0,-7.058035714,0.569691718,2
101546.297,-7.04778125,0.559768915,2
101548.719,-7.03696875,0.549848497,2
101551.25,-7.025669643,0.539930522,2
101553.813,-7.014227679,0.530015171,2
